Canberra,"1,298.9$ ","1,796.27 $"
Dublin,"1,152.1$ ","2,097.89 $"
Jakarta,524.9$ ,485.53 $
Amman,726.0$ ,346.10 $
Tokyo,881.5$ ,937.80 $
Budapest,735.8$ ,604.49 $
Milan,"1,083.7$ ","1,498.58 $"
Rome,967.0$ ,"1,159.17 $"
Vilnius,801.4$ ,806.34 $
Hamburg,"1,047.2$ ","1,060.80 $"
Frankfurt,"1,119.3$ ","1,288.26 $"
Munich,"1,097.5$ ","1,472.06 $"
Berlin,"1,075.8$ ","1,372.80 $"
"Columbus, OH","30,207.9TL ","1,548.12 $"
"Phoenix, AZ","30,678.2TL ","1,813.16 $"
"Houston, TX","34,180.7TL ","1,735.11 $"
"Orlando, FL","30,564.3TL ","1,926.53 $"
"Dallas, TX","31,900.0TL ","1,914.82 $"
"Austin, TX","31,872.3TL ","2,431.50 $"
"Minneapolis, MN","31,942.0TL ","1,560.00 $"
"Tucson, AZ","32,362.0TL ","1,400.00 $"
"Atlanta, GA","33,806.9TL ","1,993.33 $"
"Denver, CO","32,842.4TL ","2,165.58 $"
"Chicago, IL","32,834.7TL ","2,251.24 $"
"Miami, FL","34,909.6TL ","2,830.07 $"
"Tampa, FL","34,421.5TL ","2,068.86 $"
"Sacramento, CA","35,200.6TL ","2,116.67 $"
"Portland, OR","36,454.5TL ","1,840.56 $"
"Boston, MA","37,098.9TL ","3,078.10 $"
"Seattle, WA","40,654.2TL ","2,549.07 $"
Edinburgh,979.8$ ,"1,459.74 $"
Manchester,985.0$ ,"1,257.39 $"
"Washington, DC","35,807.9TL ","2,570.59 $"
Glasgow,995.1$ ,"1,085.90 $"
London,"1,353.6$ ","2,656.01 $"
Bangkok,635.4$ ,738.34 $
Zurich,"1,899.5$ ","2,798.88 $"
Gothenburg,894.2$ ,"1,024.19 $"
Geneva,"1,631.5$ ","2,387.62 $"
Stockholm,"1,003.5$ ","1,322.05 $"
Barcelona,840.8$ ,"1,234.96 $"
Madrid,763.3$ ,"1,110.03 $"
Istanbul,520.1$ ,676.39 $
Singapore,"1,146.0$ ","3,293.11 $"
Porto,682.7$ ,979.05 $
Seoul,"1,163.1$ ",798.65 $
Lisbon,751.6$ ,"1,388.51 $"
Manila,611.4$ ,530.98 $
Oslo,"1,220.5$ ","1,332.31 $"
Wellington,"1,047.3$ ","1,507.38 $"
Auckland,"1,087.8$ ","1,280.85 $"
Amsterdam,"1,028.9$ ","1,876.81 $"
Paris,"1,117.8$ ","1,391.34 $"
Rotterdam,924.3$ ,"1,412.82 $"
Helsinki,989.0$ ,"1,019.25 $"
Tallinn,896.6$ ,697.69 $
Copenhagen,"1,196.2$ ","1,857.19 $"
Beijing,635.2$ ,942.84 $
Shanghai,674.4$ ,869.80 $
Mississauga,957.0$ ,"1,739.95 $"
Montreal,958.3$ ,"1,198.47 $"
Winnipeg,980.8$ ,914.39 $
Hamilton,"1,033.1$ ","1,215.32 $"
Edmonton,"1,063.4$ ","1,012.13 $"
Calgary,"1,124.8$ ","1,295.68 $"
Ottawa,"1,100.0$ ","1,359.79 $"
Vancouver,"1,078.4$ ","2,015.68 $"
Toronto,"1,121.9$ ","1,878.00 $"
Victoria,"1,113.8$ ","1,573.99 $"
Brussels,"1,059.4$ ","1,068.31 $"
Vienna,"1,014.0$ ","1,009.56 $"
Sydney,"1,150.7$ ","2,114.50 $"
Melbourne,"1,140.6$ ","1,528.38 $"
Brisbane,"1,182.6$ ","1,674.04 $"
Halifax,"1,038.5$ ","1,330.19 $"
Adelaide,"1,274.1$ ","1,442.26 $"
