Country,ECI
Japan,2.2640643
Switzerland,2.140303
South Korea,2.0378988
Germany,1.9371309
Singapore,1.8347754
Czechia,1.7509125
Austria,1.6754705
United Kingdom,1.6125351
Slovenia,1.5924107
Sweden,1.5373482
Hungary,1.5247633
Slovakia,1.4639752
Ireland,1.4413548
United States of America,1.4049027
Finland,1.3552113
Italy,1.3483225
France,1.3362215
China,1.3270195
Romania,1.2265038
Belgium,1.1836269
Israel,1.1681432
Mexico,1.1396077
Thailand,1.1199546
Denmark,1.0592493
Poland,1.0175672
Netherlands,0.99330395
Estonia,0.9913144
Malaysia,0.94824725
Belarus,0.90679765
Lithuania,0.89149725
Croatia,0.7718536
Bosnia and Herzegovina,0.76734173
Philippines,0.7596492
Spain,0.7565789
Portugal,0.7431955
Latvia,0.73246163
Serbia,0.7259413
Saudi Arabia,0.6184346
Bulgaria,0.61798525
Turkiye,0.6128321
Canada,0.57885444
India,0.47836685
Bahrain,0.44947362
Norway,0.3941938
Tunisia,0.39083406
Cyprus,0.38453516
Costa Rica,0.35188437
Lebanon,0.34203124
Ukraine,0.3247983
Greece,0.25424865
Uruguay,0.23785289
New Zealand,0.19633187
Russia,0.19238457
North Macedonia,0.13291268
Kuwait,0.13200761
United Arab Emirates,0.12410339
Jordan,0.08917685
Dominican Republic,0.07504177
Georgia,0.055888087
El Salvador,0.050319057
Vietnam,0.036365185
Moldova,0.021721192
Eswatini,-0.003935587
Indonesia,-0.09235208
Kyrgyzstan,-0.105159834
Colombia,-0.13283533
Egypt,-0.13498041
South Africa,-0.14771828
Oman,-0.16259702
Brazil,-0.16482677
Mauritius,-0.16932192
Uzbekistan,-0.17489642
Iran,-0.18771853
Argentina,-0.19786197
Guatemala,-0.20499633
Albania,-0.23033197
Sri Lanka,-0.24333432
Chile,-0.30327478
Jamaica,-0.3115966
Kenya,-0.35204473
Morocco,-0.3530328
Qatar,-0.3783307
Cambodia,-0.38717446
Laos,-0.4111963
Paraguay,-0.44083542
Panama,-0.45625818
Trinidad and Tobago,-0.46457565
Kazakhstan,-0.47155756
Malawi,-0.5108971
Honduras,-0.51928395
Armenia,-0.5198076
Uganda,-0.530818
Australia,-0.5494419
Pakistan,-0.5692318
Namibia,-0.58078516
Algeria,-0.62682056
Senegal,-0.656918
Tajikistan,-0.72400916
Mali,-0.7279726
Burkina Faso,-0.7476279
Bangladesh,-0.76280844
Madagascar,-0.7700163
Turkmenistan,-0.81870073
Yemen,-0.825898
Zambia,-0.84021735
Myanmar,-0.8407597
Peru,-0.863343
Ethiopia,-0.8806284
Tanzania,-0.9141083
Nicaragua,-0.9146126
Botswana,-0.9168437
Bolivia,-0.9830669
Zimbabwe,-1.0066293
Togo,-1.030919
Azerbaijan,-1.0347948
Angola,-1.0400707
Cuba,-1.0422182
Ecuador,-1.0687606
Libya,-1.1092545
Mozambique,-1.1666185
Ghana,-1.1795713
Mongolia,-1.2153045
Venezuela,-1.2844517
Republic of the Congo,-1.45564
Mauritania,-1.4577127
Côte d'Ivoire,-1.5474783
Gabon,-1.5890591
Nigeria,-1.6159297
Cameroon,-1.7103671
Papua New Guinea,-1.7235698
Democratic Republic of the Congo,-1.8616818
Guinea,-2.4160976
Liberia,-2.441536
