,score,innovation,competitiveness,labour skills,infrastructure,access to capital,openness for business
United States,42.88,2.19,2.58,45.73,38.74,360.34,0.21
Germany,41.05,1.94,1.81,49.24,55.27,325.92,0.31
United Kingdom,35.8,1.43,1.56,49.37,64.25,290.14,0.34
Israel,34.25,6.1,6.65,16.4,15.05,358.27,0.28
United Arab Emirates,31.01,3.07,2.61,32.6,38.27,487.04,0.21
Poland,29.75,1.13,1.38,49.52,72.57,178.65,0.56
Spain,29.01,5.01,5.4,19.95,18.51,489.34,0.16
Sweden,28.16,2.42,3.48,41.36,28.72,357.95,0.28
India,25.47,2.03,2.11,49.16,47.46,490.72,0.09
France,25.34,4.4,5.68,22.73,17.6,279.99,0.36
Australia,25.05,2.71,3.08,36.95,32.49,221.16,0.45
Estonia,24.64,4.39,4.18,22.78,23.91,320.3,0.31
Ireland,24.37,3.88,3.91,25.74,25.59,206,0.49
Malaysia,23.6,2.48,2.8,40.28,35.65,150.13,0.67
Saudi Arabia,22.98,5.74,3.71,17.43,26.93,226.08,0.44
South Korea,22.43,3.2,3.64,31.26,27.45,165.38,0.6
Canada,21.8,1.42,1.82,49.61,54.91,151.83,0.66
Philippines,21.62,2.57,2.38,38.9,42.01,127.42,0.78
Denmark,21.42,2.95,3.51,33.87,28.46,145.2,0.69
Switzerland,21.34,3.77,3.85,26.54,25.99,241.79,0.41
Taiwan,21.24,5.08,5.48,19.7,18.23,193.2,0.52
Japan,20.71,3.61,4.01,27.72,24.92,241.35,0.41
Singapore,20.05,4.23,4.45,23.66,22.49,239.75,0.42
China,20.04,5.06,5.11,19.77,19.58,206.01,0.49
Austria,19.92,3.81,4.79,26.23,20.89,203.21,0.49
Portugal,19.73,5.85,5.64,17.1,17.72,223.43,0.45
Belgium,19.72,2.52,2.68,39.62,37.28,140.29,0.71
Italy,19.46,2.73,3.1,36.67,32.25,147.32,0.68
New Zealand,18.55,4.05,4.66,24.71,21.48,222.81,0.45
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
