Country,Mbps
Singapore ,247.44
,
Hong Kong (SAR) ,242.99
,
Chile ,240.34
,
United Arab Emirates ,238.28
,
Thailand ,211.28
,
United States ,207.32
,
China ,193.66
,
Denmark ,192.68
,
Spain ,178.94
,
Taiwan ,177.43
,
Romania ,166.96
,
France ,166.21
,
Switzerland ,161.58
,
New Zealand ,160.4
,
Kuwait ,158.7
,
Macau (SAR) ,158.25
,
Israel ,158.08
,
Iceland ,150.97
,
Panama ,150.66
,
Canada ,147.65
,
Uruguay ,147.03
,
Japan ,145.49
,
Liechtenstein ,145.29
,
Netherlands ,136.58
,
Monaco ,136.47
,
South Korea ,133.38
,
Portugal ,130.12
,
Qatar ,127.43
,
Hungary ,126.51
,
Brazil ,122.16
,
Norway ,106.52
,
Andorra ,106.01
,
Moldova ,105.82
,
Luxembourg ,105.8
,
Poland ,105.42
,
Sweden ,105.14
,
Malta ,103.81
,
Trinidad and Tobago ,102.75
,
Malaysia ,96.23
,
Finland ,95.7
,
Colombia ,95.45
,
Jordan ,94.91
,
Saint Lucia ,94.76
,
Barbados ,94.53
,
Saudi Arabia ,94.38
,
Vietnam ,93.66
,
Lithuania ,93.19
,
Belgium ,91.58
,
Philippines ,91.56
,
Ireland ,90.44
,
Saint Vincent and the Grenadines ,90.43
,
Peru ,88.97
,
Grenada ,88.02
,
Dominica ,87.66
,
Germany ,85.86
,
Slovenia ,82.57
,
Paraguay ,80.2
,
Russia ,79.32
,
Bahrain ,78.14
,
United Kingdom ,77.44
,
Costa Rica ,77.19
,
San Marino ,72.55
,
Austria ,71.65
,
Slovakia ,69.96
,
Latvia ,69.51
,
Ukraine ,69.02
,
Argentina ,68.55
,
Ecuador ,66.74
,
Bulgaria ,66.18
,
Serbia ,64.2
,
Oman ,63.62
,
Estonia ,62.22
,
Italy ,62.13
,
Mexico ,61.36
,
Palestine ,59.68
,
Guyana ,58.24
,
Cyprus ,57.96
,
Czechia ,57.26
,
Côte d'Ivoire ,57.24
,
Mongolia ,56.97
,
Jamaica ,56.24
,
Nepal ,55.57
,
Kosovo ,54.74
,
Australia ,53.88
,
India ,53.42
,
Kyrgyzstan ,51.95
,
Uzbekistan ,51.61
,
Saint Kitts and Nevis ,51.16
,
Nicaragua ,50.81
,
The Bahamas ,50.28
,
Belarus ,49.84
,
Egypt ,48.53
,
Albania ,47.86
,
Brunei ,46.62
,
Kazakhstan ,46.33
,
Burkina Faso ,44.66
,
Montenegro ,44.62
,
Armenia ,43.97
,
El Salvador ,43.6
,
Belize ,42.96
,
Guatemala ,42.69
,
South Africa ,42.57
,
Congo ,42.39
,
Greece ,41.8
,
Gabon ,39
,
Bangladesh ,37.92
,
Antigua and Barbuda ,37.08
,
North Macedonia ,36.62
,
Croatia ,36.13
,
Honduras ,35.89
,
Turkey ,33.89
,
Rwanda ,33.06
,
Haiti ,32.6
,
Laos ,32.32
,
Ghana ,30.79
,
Mauritius ,30.39
,
Azerbaijan ,29.14
,
Venezuela ,29.02
,
Togo ,28.34
,
Iraq ,28.2
,
Madagascar ,27.57
,
Indonesia ,27.11
,
Bolivia ,26.13
,
Georgia ,25.43
,
Bosnia and Herzegovina ,24.82
,
Western Sahara ,24.52
,
Dominican Republic ,22.72
,
Seychelles ,22.41
,
Cambodia ,22.35
,
Tajikistan ,22.01
,
Mali ,21.6
,
Morocco ,20.75
,
Mauritania ,20.38
,
Benin ,20.34
,
Lesotho ,20.28
,
Senegal ,19.87
,
Sri Lanka ,19.53
,
Myanmar (Burma) ,19.41
,
Cape Verde ,17.73
,
Papua New Guinea ,16.17
,
Nigeria ,15.96
,
Tanzania ,15.45
,
Fiji ,15.26
,
Angola ,13.43
,
Sierra Leone ,12.82
,
Namibia ,12.36
,
Uganda ,12.28
,
Iran ,12.11
,
Algeria ,11.3
,
Pakistan ,11.3
,
Suriname ,11.14
,
Bhutan ,10.77
,
Zambia ,10.58
,
Micronesia ,10.25
,
Djibouti ,10.22
,
Kenya ,10.15
,
DR Congo ,10.04
,
Maldives ,9.84
,
Malawi ,9.73
,
Vanuatu ,9.65
,
Swaziland ,9.54
,
Cameroon ,9.48
,
Guinea ,9.31
,
Somalia ,8.99
,
Zimbabwe ,8.98
,
Tunisia ,8.66
,
Mozambique ,8.61
,
Lebanon ,7.89
,
Botswana ,7.78
,
Libya ,7.72
,
The Gambia ,6.45
,
Liberia ,6.26
,
Sudan ,6.11
,
East Timor ,5.61
,
Burundi ,5.47
,
Ethiopia ,5.21
,
Yemen ,4.96
,
Niger ,4.61
,
Syria ,4.11
,
Turkmenistan ,4.06
,
Afghanistan ,2.72
,
Cuba ,1.86
