country,press,,,,,
Norway,95.18,,,,,
Ireland,89.91,,,,,
Denmark,89.48,,,,,
Sweden,88.15,,,,,
Finland,87.94,,,,,
Netherlands,87,,,,,
Lithuania,86.79,,,,,
Estonia,85.31,,,,,
Portugal,84.6,,,,,
Timor-Leste,84.49,,,,,
Liechtenstein,84.47,,,,,
Switzerland,84.4,,,,,
New,Zealand,84.23,,,,
Czech,Republic,83.58,,,,
Canada,83.53,,,,,
Latvia,83.27,,,,,
Slovakia,83.22,,,,,
Iceland,83.19,,,,,
Samoa,82.15,,,,,
Luxembourg,81.98,,,,,
Germany,81.91,,,,,
Namibia,80.91,,,,,
Costa,Rica,80.2,,,,
France,78.72,,,,,
South,Africa,78.6,,,,
United,Kingdom,78.51,,,,
Australia,78.24,,,,,
Moldova,77.62,,,,,
Austria,77.3,,,,,
Trinidad,and,Tobago,76.54,,,
Belgium,76.47,,,,,
Jamaica,75.89,,,,,
Cabo,Verde,75.72,,,,
Seychelles,75.71,,,,,
Taiwan,75.54,,,,,
Spain,75.37,,,,,
Andorra,75.05,,,,,
North,Macedonia,74.35,,,,
Montenegro,74.28,,,,,
Argentina,73.36,,,,,
Italy,72.05,,,,,
Croatia,71.95,,,,,
Dominican,Republic,71.88,,,,
Tonga,71.29,,,,,
United,States,71.22,,,,
Gambia,71.06,,,,,
South,Korea,70.83,,,,
Suriname,70.62,,,,,
Armenia,70.61,,,,,
Slovenia,70.59,,,,,
Belize,70.49,,,,,
Uruguay,70.33,,,,,
Romania,69.04,,,,,
Ivory,Coast,68.83,,,,
Cyprus,68.62,,,,,
Kosovo,68.38,,,,,
Poland,67.66,,,,,
Burkina,Faso,67.64,,,,
Papua,New,Guinea,67.62,,,
Guyana,67.5,,,,,
Niger,66.84,,,,,
Ghana,65.93,,,,,
Mauritius,65.56,,,,,
Bosnia-Herzegovina,65.43,,,,,
Botswana,64.61,,,,,
Liberia,64.34,,,,,
Lesotho,64.29,,,,,
Japan,63.95,,,,,
Panama,63.67,,,,,
Togo,63.06,,,,,
Bulgaria,62.98,,,,,
Hungary,62.96,,,,,
Malaysia,62.83,,,,,
Sierra,Leone,62.55,,,,
Comoros,62.25,,,,,
Northern,Cyprus,61.73,,,,
Georgia,61.69,,,,,
Guinea,Bissau,61.57,,,,
Ukraine,61.19,,,,,
Ecuador,60.51,,,,,
Congo-Brazzaville,60.42,,,,,
Malawi,60.34,,,,,
Chile,60.09,,,,,
Malta,59.76,,,,,
Guinea,59.51,,,,,
Mauritania,59.45,,,,,
Zambia,59.41,,,,,
Mongolia,59.33,,,,,
Fiji,59.27,,,,,
Bhutan,59.25,,,,,
Serbia,59.16,,,,,
Brazil,58.67,,,,,
OECS,58.36,,,,,
Gabon,58.12,,,,,
Nepal,57.89,,,,,
Albania,57.86,,,,,
Israel,57.57,,,,,
Central,African,Republic,57.56,,,
Haïti,57.38,,,,,
Maldives,56.93,,,,,
Madagascar,56.66,,,,,
Mozambique,56.13,,,,,
Paraguay,55.96,,,,,
Senegal,55.82,,,,,
Qatar,55.28,,,,,
Thailand,55.24,,,,,
Greece,55.2,,,,,
Indonesia,54.83,,,,,
Chad,53.73,,,,,
Peru,52.74,,,,,
Eswatini,52.66,,,,,
Benin,52.44,,,,,
Mali,52.29,,,,,
Burundi,52.14,,,,,
El,Salvador,51.36,,,,
Kenya,51.15,,,,,
Bolivia,51.09,,,,,
South,Sudan,50.62,,,,
Lebanon,50.46,,,,,
Equatorial,Guinea,50.35,,,,
Tunisia,50.11,,,,,
Kyrgyzstan,49.91,,,,,
Nigeria,49.56,,,,,
Democratic,Republic,of,Congo,48.55,,
Angola,48.3,,,,,
Zimbabwe,48.17,,,,,
Guatemala,48.12,,,,,
Mexico,47.98,,,,,
Singapore,47.88,,,,,
Ethiopia,47.7,,,,,
Rwanda,46.58,,,,,
Philippines,46.21,,,,,
Uganda,46.08,,,,,
Kazakhstan,45.87,,,,,
Sri,Lanka,45.85,,,,
Algeria,45.74,,,,,
Uzbekistan,45.73,,,,,
Cameroon,45.58,,,,,
Colombia,45.23,,,,,
Hong,Kong,44.86,,,,
Somalia,44.24,,,,,
Brunei,44.2,,,,,
Tanzania,44.02,,,,,
Morocco,/,Western,Sahara,43.69,,
United,Arab,Emirates,42.99,,,
Jordan,42.79,,,,,
Cambodia,42.02,,,,,
Sudan,40.83,,,,,
Libya,40.22,,,,,
Pakistan,39.95,,,,,
Azerbaijan,39.93,,,,,
Afghanistan,39.75,,,,,
Tajikistan,39.06,,,,,
Kuwait,38.84,,,,,
Oman,37.87,,,,,
Palestine,37.86,,,,,
Belarus,37.17,,,,,
Nicaragua,37.09,,,,,
Venezuela,36.99,,,,,
Laos,36.66,,,,,
India,36.62,,,,,
Djibouti,35.87,,,,,
Bangladesh,35.31,,,,,
Russia,34.77,,,,,
Türkiye,33.97,,,,,
Egypt,33.37,,,,,
Iraq,32.94,,,,,
Yemen,32.78,,,,,
Honduras,32.65,,,,,
Saudi,Arabia,32.43,,,,
Bahrain,30.59,,,,,
Cuba,29,,,,,
Myanmar,28.26,,,,,
Eritrea,27.86,,,,,
Syria,27.22,,,,,
Turkmenistan,25.82,,,,,
Iran,24.81,,,,,
Vietnam,24.58,,,,,
China,22.97,,,,,
North,Korea,21.72,,,,
